"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2014,10,20,23,0,7.782
2014,10,21,1,0,7.682
2014,10,21,3,0,7.582
2014,10,21,5,0,7.481
2014,10,21,7,0,7.481
2014,10,21,9,0,7.381
2014,10,21,11,0,7.381
2014,10,21,13,0,7.481
2014,10,21,15,0,7.481
2014,10,21,17,0,7.481
2014,10,21,19,0,7.381
2014,10,21,21,0,7.179
2014,10,21,23,0,7.179
2014,10,22,1,0,7.179
2014,10,22,3,0,7.381
2014,10,22,5,0,7.481
2014,10,22,7,0,7.582
2014,10,22,9,0,7.682
2014,10,22,11,0,7.682
2014,10,22,13,0,7.782
2014,10,22,15,0,7.682
2014,10,22,17,0,7.682
2014,10,22,19,0,7.582
2014,10,22,21,0,7.582
2014,10,22,23,0,7.582
2014,10,23,1,0,7.28
2014,10,23,3,0,7.179
2014,10,23,5,0,6.877
2014,10,23,7,0,6.166
2014,10,23,9,0,6.166
2014,10,23,11,0,5.962
2014,10,23,13,0,6.268
2014,10,23,15,0,6.37
2014,10,23,17,0,5.86
2014,10,23,19,0,4.519
2014,10,23,21,0,4.623
2014,10,23,23,0,5.037
2014,10,24,1,0,5.141
2014,10,24,3,0,5.244
2014,10,24,5,0,5.45
2014,10,24,7,0,5.45
2014,10,24,9,0,5.45
2014,10,24,11,0,5.655
2014,10,24,13,0,5.962
2014,10,24,15,0,6.268
2014,10,24,17,0,6.37
2014,10,24,19,0,6.268
2014,10,24,21,0,6.166
2014,10,24,23,0,6.166
2014,10,25,1,0,6.268
2014,10,25,3,0,6.268
2014,10,25,5,0,6.37
2014,10,25,7,0,6.37
2014,10,25,9,0,6.37
2014,10,25,11,0,6.471
2014,10,25,13,0,6.775
2014,10,25,15,0,7.079
2014,10,25,17,0,7.179
2014,10,25,19,0,7.079
2014,10,25,21,0,6.166
2014,10,25,23,0,5.655
2014,10,26,1,0,5.45
2014,10,26,3,0,5.037
2014,10,26,5,0,5.141
2014,10,26,7,0,5.141
2014,10,26,9,0,4.311
2014,10,26,11,0,3.998
2014,10,26,13,0,3.998
2014,10,26,15,0,3.683
2014,10,26,17,0,4.311
2014,10,26,19,0,4.623
2014,10,26,21,0,4.207
2014,10,26,23,0,4.519
2014,10,27,1,0,4.623
2014,10,27,3,0,4.519
2014,10,27,5,0,4.519
2014,10,27,7,0,4.415
2014,10,27,9,0,4.415
2014,10,27,11,0,4.519
2014,10,27,13,0,4.623
2014,10,27,15,0,4.934
2014,10,27,17,0,5.141
2014,10,27,19,0,5.141
2014,10,27,21,0,5.037
2014,10,27,23,0,5.037
2014,10,28,1,0,5.037
2014,10,28,3,0,5.141
2014,10,28,5,0,5.244
2014,10,28,7,0,5.45
2014,10,28,9,0,5.757
2014,10,28,11,0,6.064
2014,10,28,13,0,6.37
2014,10,28,15,0,6.471
2014,10,28,17,0,6.573
2014,10,28,19,0,6.573
2014,10,28,21,0,6.573
2014,10,28,23,0,6.573
2014,10,29,1,0,6.471
2014,10,29,3,0,6.471
2014,10,29,5,0,6.471
2014,10,29,7,0,6.471
2014,10,29,9,0,6.471
2014,10,29,11,0,6.573
2014,10,29,13,0,6.674
2014,10,29,15,0,6.775
2014,10,29,17,0,6.877
2014,10,29,19,0,6.775
2014,10,29,21,0,6.471
2014,10,29,23,0,6.471
